gid,nazwa,ostatnia_erupcja,kraj,typ,rodzaj_erupcji,materiał,tektonika,legenda,źródło
"518",Katmai,"1912",Stany Zjednoczone,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"520",Griggs,1790 p.n.e.,Stany Zjednoczone,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"521",Snowy Mountain,"1710",Stany Zjednoczone,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"524",St. Paul,"1793",Francja,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa ryftowa / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"526",Heard,"2018",Australia,stratowulkan,erupcja zaobserwowana,tefryt / trachybazalt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1287",Atitlan,"1853",Gwatemala,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1289",Acatenango,"1972",Gwatemala,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1290",Fuego,"2018",Gwatemala,stratowulkan,erupcja zaobserwowana,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"539",Taranaki [Egmont],"1854",Nowa Zelandia,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"540",White Island,"2016",Nowa Zelandia,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1294",Tecuamburro,960 p.n.e.,Gwatemala,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1423",Lautaro,"1979",Chile,stratowulkan,erupcja zaobserwowana,dacyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1425",Aguilera,1250 p.n.e.,Chile,stratowulkan,erupcja datowana,dacyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1428","Burney, Monte","1910",Chile,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1431",Saba,"1640",Niderlandy,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1432","Quill, The","250",Niderlandy,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1433",Liamuiga,"160",Saint Kitts i Nevis,stratowulkan,erupcja datowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1309",Santa Ana,"2005",Salwador,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
"1310",Izalco,"1966",Salwador,stratowulkan,erupcja zaobserwowana,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013"
